$0;1702074344233283100;1.15.2;KIEKER;Zenbook-Flip-14;1;false;0;NANOSECONDS;0
$1;1702074344265962000;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;9108811721333538817;1702074344265529400;1702074344265547600;Zenbook-Flip-14;1;1
$1;1702074344277175900;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;9108811721333538817;1702074344277155900;1702074344277170000;Zenbook-Flip-14;2;1
$1;1702074344277208900;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;9108811721333538817;1702074344252875200;1702074344277206000;Zenbook-Flip-14;0;0
$1;1702074344280685600;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;9108811721333538818;1702074344278418700;1702074344280678300;Zenbook-Flip-14;1;1
$1;1702074344282779900;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;9108811721333538818;1702074344280803600;1702074344282773100;Zenbook-Flip-14;3;2
$1;1702074344282801600;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;9108811721333538818;1702074344280754200;1702074344282797900;Zenbook-Flip-14;2;1
$1;1702074344282814000;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;9108811721333538818;1702074344277277700;1702074344282811300;Zenbook-Flip-14;0;0
$1;1702074345540402900;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;9108811721333538819;1702074345540387500;1702074345540395600;Zenbook-Flip-14;1;1
$1;1702074345540523200;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;9108811721333538819;1702074345540511900;1702074345540519300;Zenbook-Flip-14;2;1
$1;1702074345540539000;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;9108811721333538819;1702074345540364900;1702074345540536300;Zenbook-Flip-14;0;0
$1;1702074345542027200;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;9108811721333538820;1702074345540570800;1702074345542020000;Zenbook-Flip-14;1;1
$1;1702074345544320600;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;9108811721333538820;1702074345542104600;1702074345544313800;Zenbook-Flip-14;3;2
$1;1702074345544353800;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;9108811721333538820;1702074345542050400;1702074345544349900;Zenbook-Flip-14;2;1
$1;1702074345544369500;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;9108811721333538820;1702074345540561200;1702074345544367000;Zenbook-Flip-14;0;0
$1;1702074347537235000;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;9108811721333538821;1702074347537217600;1702074347537226200;Zenbook-Flip-14;1;1
$1;1702074347537291500;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;9108811721333538821;1702074347537279000;1702074347537287300;Zenbook-Flip-14;2;1
$1;1702074347537317500;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;9108811721333538821;1702074347537193600;1702074347537314100;Zenbook-Flip-14;0;0
$1;1702074347539360800;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;9108811721333538822;1702074347537365000;1702074347539353000;Zenbook-Flip-14;1;1
$1;1702074347541971700;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;9108811721333538822;1702074347539406700;1702074347541964400;Zenbook-Flip-14;3;2
$1;1702074347542008600;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;9108811721333538822;1702074347539393700;1702074347542005800;Zenbook-Flip-14;2;1
$1;1702074347542020500;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;9108811721333538822;1702074347537350500;1702074347542018600;Zenbook-Flip-14;0;0
$1;1702074349540931600;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;9108811721333538823;1702074349540905300;1702074349540914000;Zenbook-Flip-14;1;1
$1;1702074349541027700;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;9108811721333538823;1702074349541019600;1702074349541025100;Zenbook-Flip-14;2;1
$1;1702074349541039600;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;9108811721333538823;1702074349540890900;1702074349541037400;Zenbook-Flip-14;0;0
$1;1702074349542704900;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;9108811721333538824;1702074349541069100;1702074349542697300;Zenbook-Flip-14;1;1
$1;1702074349544650400;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;9108811721333538824;1702074349542750300;1702074349544633700;Zenbook-Flip-14;3;2
$1;1702074349544688100;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;9108811721333538824;1702074349542739200;1702074349544685100;Zenbook-Flip-14;2;1
$1;1702074349544699600;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;9108811721333538824;1702074349541059500;1702074349544697700;Zenbook-Flip-14;0;0
$1;1702074351532491900;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;9108811721333538825;1702074351532471000;1702074351532482500;Zenbook-Flip-14;1;1
$1;1702074351532555100;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;9108811721333538825;1702074351532543800;1702074351532551100;Zenbook-Flip-14;2;1
$1;1702074351532572200;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;9108811721333538825;1702074351532450800;1702074351532569000;Zenbook-Flip-14;0;0
