$0;1702083421063340800;1.15.2;KIEKER;Meshify5800X570;1;false;0;NANOSECONDS;0
$1;1702083421080355900;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;676947318989127681;1702083421080261200;1702083421080266600;Meshify5800X570;2;2
$1;1702083421082637700;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;676947318989127681;1702083421082632200;1702083421082636300;Meshify5800X570;3;2
$1;1702083421082648100;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;676947318989127681;1702083421077156200;1702083421082647100;Meshify5800X570;1;1
$1;1702083421085701100;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127681;1702083421083091800;1702083421085697700;Meshify5800X570;5;2
$1;1702083421088685200;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127681;1702083421085744300;1702083421088682900;Meshify5800X570;7;3
$1;1702083421088695100;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;676947318989127681;1702083421085736300;1702083421088694100;Meshify5800X570;6;2
$1;1702083421088698800;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;676947318989127681;1702083421082658000;1702083421088698100;Meshify5800X570;4;1
$1;1702083421088704400;public static void kieker.examples.monitoring.application.Main.main(java.lang.String[]);<no-session-id>;676947318989127681;1702083421073864300;1702083421088703800;Meshify5800X570;0;0
$1;1702083422693751400;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;676947318989127682;1702083422693738300;1702083422693743900;Meshify5800X570;2;2
$1;1702083422693785500;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;676947318989127682;1702083422693779200;1702083422693782400;Meshify5800X570;3;2
$1;1702083422693791600;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;676947318989127682;1702083422693730300;1702083422693790400;Meshify5800X570;1;1
$1;1702083422696464600;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127682;1702083422693804900;1702083422696461200;Meshify5800X570;5;2
$1;1702083422698462200;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127682;1702083422696484400;1702083422698459000;Meshify5800X570;7;3
$1;1702083422698477000;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;676947318989127682;1702083422696479300;1702083422698475300;Meshify5800X570;6;2
$1;1702083422698486900;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;676947318989127682;1702083422693799000;1702083422698481600;Meshify5800X570;4;1
$1;1702083422698490700;public static void kieker.examples.monitoring.application.Main.main(java.lang.String[]);<no-session-id>;676947318989127682;1702083422693712500;1702083422698489900;Meshify5800X570;0;0
$1;1702083424703741000;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;676947318989127683;1702083424703732300;1702083424703736900;Meshify5800X570;2;2
$1;1702083424703767200;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;676947318989127683;1702083424703762500;1702083424703765500;Meshify5800X570;3;2
$1;1702083424703772200;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;676947318989127683;1702083424703729200;1702083424703771400;Meshify5800X570;1;1
$1;1702083424705522700;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127683;1702083424703780400;1702083424705518600;Meshify5800X570;5;2
$1;1702083424707525500;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127683;1702083424705542100;1702083424707521900;Meshify5800X570;7;3
$1;1702083424707539300;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;676947318989127683;1702083424705537300;1702083424707537800;Meshify5800X570;6;2
$1;1702083424707544700;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;676947318989127683;1702083424703776200;1702083424707543800;Meshify5800X570;4;1
$1;1702083424707548600;public static void kieker.examples.monitoring.application.Main.main(java.lang.String[]);<no-session-id>;676947318989127683;1702083424703715000;1702083424707547800;Meshify5800X570;0;0
$1;1702083426699214300;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;676947318989127684;1702083426699202800;1702083426699207100;Meshify5800X570;2;2
$1;1702083426699245800;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;676947318989127684;1702083426699242800;1702083426699244900;Meshify5800X570;3;2
$1;1702083426699250300;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;676947318989127684;1702083426699199600;1702083426699249500;Meshify5800X570;1;1
$1;1702083426700978000;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127684;1702083426699259100;1702083426700974900;Meshify5800X570;5;2
$1;1702083426703990800;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127684;1702083426700993700;1702083426703987400;Meshify5800X570;7;3
$1;1702083426704005800;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;676947318989127684;1702083426700989100;1702083426704004300;Meshify5800X570;6;2
$1;1702083426704011600;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;676947318989127684;1702083426699254600;1702083426704010700;Meshify5800X570;4;1
