$0;1703873778651579700;1.15.2;KIEKER;Zenbook-Flip-14;1;false;0;NANOSECONDS;0
$1;1703873779273442500;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728385;1703873778673279000;1703873779273233500;Zenbook-Flip-14;1;1
$1;1703873779573872200;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728385;1703873779273485300;1703873779573860300;Zenbook-Flip-14;2;1
$1;1703873779674164400;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728385;1703873779573915100;1703873779674149800;Zenbook-Flip-14;3;1
$1;1703873779674217300;public static void kurz.ma.examples.simple.Main8Condition.main(java.lang.String[]);<no-session-id>;4950863365363728385;1703873778667559600;1703873779674215700;Zenbook-Flip-14;0;0
$1;1703873780426690900;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728386;1703873779826628600;1703873780426679500;Zenbook-Flip-14;1;1
$1;1703873780726942000;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728386;1703873780426731200;1703873780726928800;Zenbook-Flip-14;2;1
$1;1703873780827277400;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728386;1703873780726992700;1703873780827266000;Zenbook-Flip-14;3;1
$1;1703873780827312700;public static void kurz.ma.examples.simple.Main8Condition.main(java.lang.String[]);<no-session-id>;4950863365363728386;1703873779826619900;1703873780827311100;Zenbook-Flip-14;0;0
$1;1703873781936813200;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728387;1703873781336968000;1703873781936801000;Zenbook-Flip-14;1;1
$1;1703873782236956700;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728387;1703873781936864600;1703873782236944800;Zenbook-Flip-14;2;1
$1;1703873782337189200;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728387;1703873782237001200;1703873782337177900;Zenbook-Flip-14;3;1
$1;1703873782337223000;public static void kurz.ma.examples.simple.Main8Condition.main(java.lang.String[]);<no-session-id>;4950863365363728387;1703873781336957800;1703873782337221400;Zenbook-Flip-14;0;0
$1;1703873783433991800;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728388;1703873782833373300;1703873783433980500;Zenbook-Flip-14;1;1
$1;1703873783734194800;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728388;1703873783434029700;1703873783734182200;Zenbook-Flip-14;2;1
$1;1703873783834938500;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728388;1703873783734262000;1703873783834927000;Zenbook-Flip-14;3;1
$1;1703873783834974000;public static void kurz.ma.examples.simple.Main8Condition.main(java.lang.String[]);<no-session-id>;4950863365363728388;1703873782833365300;1703873783834972400;Zenbook-Flip-14;0;0
$1;1703873784927508100;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728389;1703873784327114300;1703873784927493300;Zenbook-Flip-14;1;1
$1;1703873785227855700;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728389;1703873784927555000;1703873785227833900;Zenbook-Flip-14;2;1
$1;1703873785328632800;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728389;1703873785227930800;1703873785328621700;Zenbook-Flip-14;3;1
$1;1703873785328667600;public static void kurz.ma.examples.simple.Main8Condition.main(java.lang.String[]);<no-session-id>;4950863365363728389;1703873784327104100;1703873785328665800;Zenbook-Flip-14;0;0
$1;1703873786431184900;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728390;1703873785831347300;1703873786431171900;Zenbook-Flip-14;1;1
$1;1703873786732182500;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728390;1703873786431244300;1703873786732162400;Zenbook-Flip-14;2;1
$1;1703873786832939500;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728390;1703873786732249400;1703873786832921100;Zenbook-Flip-14;3;1
$1;1703873786832993100;public static void kurz.ma.examples.simple.Main8Condition.main(java.lang.String[]);<no-session-id>;4950863365363728390;1703873785831332000;1703873786832991200;Zenbook-Flip-14;0;0
$1;1703873787925868800;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728391;1703873787325140000;1703873787925848200;Zenbook-Flip-14;1;1
$1;1703873788226793900;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728391;1703873787925942300;1703873788226779800;Zenbook-Flip-14;2;1
$1;1703873788327405000;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4950863365363728391;1703873788226853500;1703873788327387700;Zenbook-Flip-14;3;1
$1;1703873788327452000;public static void kurz.ma.examples.simple.Main8Condition.main(java.lang.String[]);<no-session-id>;4950863365363728391;1703873787325123000;1703873788327449800;Zenbook-Flip-14;0;0
