$0;1690401045692633808;1.15-SNAPSHOT;KIEKER;203b795dd534;1;false;0;NANOSECONDS;0
$1;1690401052379283941;public void tools.descartes.teastore.image.setup.SetupController.startup();<no-session-id>;335236697262391297;1690401049086716254;1690401052378843425;203b795dd534;0;0
$1;1690401053720592593;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;6550907870475452417;1690401053720133531;1690401053720568708;203b795dd534;15;5
$1;1690401053721277103;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452417;1690401053717685722;1690401053721262956;203b795dd534;14;4
$1;1690401053769169176;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452417;1690401053735446426;1690401053769141373;203b795dd534;16;4
$1;1690401053770050260;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452417;1690401053716299820;1690401053770035812;203b795dd534;13;3
$1;1690401053770740531;public jakarta.ws.rs.core.Response tools.descartes.teastore.image.rest.ImageProviderEndpoint.getWebUIImages(java.util.HashMap);<no-session-id>;6550907870475452417;1690401053694172832;1690401053770729219;203b795dd534;12;2
$1;1690401060201306439;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;6550907870475452418;1690401060201062776;1690401060201288605;203b795dd534;53;5
$1;1690401060201390709;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452418;1690401060201017510;1690401060201385559;203b795dd534;52;4
$1;1690401060207514583;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060203970890;1690401060207503011;203b795dd534;54;4
$1;1690401060207598934;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060200902742;1690401060207592802;203b795dd534;51;3
$1;1690401060207780238;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;6550907870475452418;1690401060207674918;1690401060207774577;203b795dd534;57;5
