$0;1704998672775776504;1.15-SNAPSHOT;KIEKER;0db502b57f13;1;false;0;NANOSECONDS;0
$1;1704998679424588513;public void tools.descartes.teastore.image.setup.SetupController.startup();<no-session-id>;2423640286967103489;1704998676264635524;1704998679423844079;0db502b57f13;0;0
$1;1704998680979429205;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505479;1704998680978963741;1704998680979397144;0db502b57f13;12;5
$1;1704998680979796493;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505479;1704998680975668102;1704998680979782506;0db502b57f13;11;4
$1;1704998681003743818;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505479;1704998680991760563;1704998681003705104;0db502b57f13;13;4
$1;1704998681004355830;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505479;1704998680974155298;1704998681004339068;0db502b57f13;10;3
$1;1704998681004973143;public jakarta.ws.rs.core.Response tools.descartes.teastore.image.rest.ImageProviderEndpoint.getWebUIImages(java.util.HashMap);<no-session-id>;154670499702505479;1704998680971948876;1704998681004954247;0db502b57f13;9;2
$1;1704998681488723379;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;154670499702505480;1704998681488682441;1704998681488700686;0db502b57f13;18;5
$1;1704998681488860439;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;154670499702505480;1704998681488850871;1704998681488852284;0db502b57f13;19;5
$1;1704998681488887090;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505480;1704998681488510254;1704998681488879575;0db502b57f13;17;4
$1;1704998681488941723;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505480;1704998681488457804;1704998681488935061;0db502b57f13;16;3
