$0;1690401046826266703;1.15-SNAPSHOT;KIEKER;0e379ce6b5dd;1;false;0;NANOSECONDS;0
$1;1690401051314686443;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051314245926;1690401051314269381;0e379ce6b5dd;2;2
$1;1690401051314818925;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051314804878;1690401051314807172;0e379ce6b5dd;3;2
$1;1690401051314837480;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051314831679;1690401051314832981;0e379ce6b5dd;4;2
$1;1690401051314850946;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051314846237;1690401051314847249;0e379ce6b5dd;5;2
$1;1690401051314862407;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051314858059;1690401051314858921;0e379ce6b5dd;6;2
$1;1690401051314869621;protected java.util.List tools.descartes.teastore.persistence.rest.CategoryEndpoint.listAllEntities(int, int);<no-session-id>;335236697262391297;1690401051308665943;1690401051314866004;0e379ce6b5dd;1;1
$1;1690401051328835771;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;6550907870475452417;1690401051328802518;1690401051328808870;0e379ce6b5dd;3;3
$1;1690401051328943145;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;6550907870475452417;1690401051328926132;1690401051328930040;0e379ce6b5dd;4;3
$1;1690401051328966639;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;6550907870475452417;1690401051328959696;1690401051328961189;0e379ce6b5dd;5;3
$1;1690401051328981678;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;6550907870475452417;1690401051328976127;1690401051328977370;0e379ce6b5dd;6;3
$1;1690401051328994572;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;6550907870475452417;1690401051328989493;1690401051328990665;0e379ce6b5dd;7;3
$1;1690401051329002097;protected java.util.List tools.descartes.teastore.persistence.rest.CategoryEndpoint.listAllEntities(int, int);<no-session-id>;6550907870475452417;1690401051325352261;1690401051328998319;0e379ce6b5dd;2;2
$1;1690401051773258398;public java.util.List tools.descartes.teastore.persistence.domain.ProductRepository.getAllEntities(long, int, int);<no-session-id>;335236697262391297;1690401051715946723;1690401051773226217;0e379ce6b5dd;8;2
$1;1690401051773591661;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051773539963;1690401051773569719;0e379ce6b5dd;9;2
$1;1690401051773654460;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051773642818;1690401051773645713;0e379ce6b5dd;10;2
$1;1690401051773701219;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051773689977;1690401051773692132;0e379ce6b5dd;11;2
$1;1690401051773720195;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051773712350;1690401051773714975;0e379ce6b5dd;12;2
$1;1690401051773737748;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051773732258;1690401051773733360;0e379ce6b5dd;13;2
$1;1690401051773751214;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051773745573;1690401051773746795;0e379ce6b5dd;14;2
$1;1690401051773765050;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051773759590;1690401051773760802;0e379ce6b5dd;15;2
$1;1690401051773778636;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051773772835;1690401051773773837;0e379ce6b5dd;16;2
$1;1690401051773792713;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051773787633;1690401051773788785;0e379ce6b5dd;17;2
$1;1690401051773804816;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051773799946;1690401051773800928;0e379ce6b5dd;18;2
$1;1690401051773818802;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051773813302;1690401051773814514;0e379ce6b5dd;19;2
$1;1690401051773833029;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051773826877;1690401051773828340;0e379ce6b5dd;20;2
$1;1690401051773854350;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051773845182;1690401051773847256;0e379ce6b5dd;21;2
$1;1690401051773872244;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051773865952;1690401051773867164;0e379ce6b5dd;22;2
$1;1690401051773918021;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051773883435;1690401051773884757;0e379ce6b5dd;23;2
$1;1690401051773940123;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051773932137;1690401051773934081;0e379ce6b5dd;24;2
$1;1690401051773958027;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051773951194;1690401051773952676;0e379ce6b5dd;25;2
$1;1690401051773973396;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051773967645;1690401051773968897;0e379ce6b5dd;26;2
$1;1690401051773988244;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051773982784;1690401051773983866;0e379ce6b5dd;27;2
$1;1690401051774002381;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051773996510;1690401051773997842;0e379ce6b5dd;28;2
$1;1690401051774017650;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051774011709;1690401051774012911;0e379ce6b5dd;29;2
$1;1690401051774031476;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051774025665;1690401051774026968;0e379ce6b5dd;30;2
$1;1690401051774046735;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051774041094;1690401051774042437;0e379ce6b5dd;31;2
$1;1690401051774060601;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051774054921;1690401051774055923;0e379ce6b5dd;32;2
$1;1690401051774074979;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051774069538;1690401051774070590;0e379ce6b5dd;33;2
$1;1690401051774088354;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051774082263;1690401051774083264;0e379ce6b5dd;34;2
$1;1690401051774102902;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051774097371;1690401051774098553;0e379ce6b5dd;35;2
$1;1690401051774120946;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051774110727;1690401051774111909;0e379ce6b5dd;36;2
$1;1690401051774136486;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051774129773;1690401051774131777;0e379ce6b5dd;37;2
$1;1690401051774150693;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051774144611;1690401051774145753;0e379ce6b5dd;38;2
$1;1690401051774165861;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051774159800;1690401051774161042;0e379ce6b5dd;39;2
$1;1690401051774178916;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051774173275;1690401051774174518;0e379ce6b5dd;40;2
$1;1690401051774193003;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051774187943;1690401051774189015;0e379ce6b5dd;41;2
$1;1690401051774205767;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051774200076;1690401051774201118;0e379ce6b5dd;42;2
$1;1690401051774220195;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051774214844;1690401051774216097;0e379ce6b5dd;43;2
$1;1690401051774234752;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051774227809;1690401051774228841;0e379ce6b5dd;44;2
$1;1690401051774250282;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051774244531;1690401051774245643;0e379ce6b5dd;45;2
$1;1690401051774263417;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;335236697262391297;1690401051774257816;1690401051774258948;0e379ce6b5dd;46;2
$1;1690401051774277574;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;335236697262391297;1690401051774271943;1690401051774273135;0e379ce6b5dd;47;2
