$0;1704998673433672284;1.15-SNAPSHOT;KIEKER;41461d38420a;1;false;0;NANOSECONDS;0
$1;1704998677129774576;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;154670499702505475;1704998677129637545;1704998677129640150;41461d38420a;3;3
$1;1704998677129770911;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;154670499702505473;1704998677129633069;1704998677129636906;41461d38420a;3;3
$1;1704998677129770159;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;154670499702505474;1704998677129355822;1704998677129380779;41461d38420a;3;3
$1;1704998677129843439;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;154670499702505473;1704998677129834982;1704998677129836505;41461d38420a;4;3
$1;1704998677129850752;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;154670499702505474;1704998677129841114;1704998677129843037;41461d38420a;4;3
$1;1704998677129856982;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;154670499702505475;1704998677129847704;1704998677129849588;41461d38420a;4;3
$1;1704998677129860972;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;154670499702505473;1704998677129855291;1704998677129856393;41461d38420a;5;3
$1;1704998677129868876;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;154670499702505474;1704998677129862564;1704998677129863787;41461d38420a;5;3
$1;1704998677129874898;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;154670499702505473;1704998677129869899;1704998677129870991;41461d38420a;6;3
$1;1704998677129876138;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;154670499702505475;1704998677129870408;1704998677129871540;41461d38420a;5;3
$1;1704998677129886601;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;154670499702505473;1704998677129882292;1704998677129883274;41461d38420a;7;3
$1;1704998677129886369;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;154670499702505474;1704998677129879837;1704998677129881240;41461d38420a;6;3
