$0;1704998670981174217;1.15-SNAPSHOT;KIEKER;39606aec9fd7;1;false;0;NANOSECONDS;0
$1;1704998678600336829;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8072420857084903425;1704998677296564244;1704998678599624255;39606aec9fd7;1;1
$1;1704998678842457398;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8072420857084903425;1704998678608134540;1704998678842414526;39606aec9fd7;2335;1
$1;1704998679169168471;public long tools.descartes.teastore.recommender.servlet.TrainingSynchronizer.retrieveDataAndRetrain();<no-session-id>;8072420857084903425;1704998675987852236;1704998679169125520;39606aec9fd7;0;0
$1;1704998682777964813;protected java.util.List tools.descartes.teastore.recommender.algorithm.impl.cf.SlopeOneRecommender.execute(java.lang.Long, java.util.List);<no-session-id>;154670499702505487;1704998682777585392;1704998682777946678;39606aec9fd7;18;4
$1;1704998682781611510;protected java.util.List tools.descartes.teastore.recommender.algorithm.impl.pop.PopularityBasedRecommender.execute(java.lang.Long, java.util.List);<no-session-id>;154670499702505487;1704998682779918755;1704998682781588106;39606aec9fd7;19;4
$1;1704998682781679239;public java.util.List tools.descartes.teastore.recommender.algorithm.RecommenderSelector.recommendProducts(java.lang.Long, java.util.List);<no-session-id>;154670499702505487;1704998682777475643;1704998682781669982;39606aec9fd7;17;3
$1;1704998682782079029;public jakarta.ws.rs.core.Response tools.descartes.teastore.recommender.rest.RecommendEndpoint.recommend(java.util.List, java.lang.Long);<no-session-id>;154670499702505487;1704998682777377146;1704998682782069430;39606aec9fd7;16;2
$1;1704998682783494404;protected java.util.List tools.descartes.teastore.recommender.algorithm.impl.cf.SlopeOneRecommender.execute(java.lang.Long, java.util.List);<no-session-id>;154670499702505486;1704998682777584510;1704998682783482020;39606aec9fd7;21;4
$1;1704998682783548476;public java.util.List tools.descartes.teastore.recommender.algorithm.RecommenderSelector.recommendProducts(java.lang.Long, java.util.List);<no-session-id>;154670499702505486;1704998682777483608;1704998682783539219;39606aec9fd7;20;3
$1;1704998682783583463;public jakarta.ws.rs.core.Response tools.descartes.teastore.recommender.rest.RecommendEndpoint.recommend(java.util.List, java.lang.Long);<no-session-id>;154670499702505486;1704998682777377237;1704998682783577161;39606aec9fd7;19;2
$1;1704998682783845658;protected java.util.List tools.descartes.teastore.recommender.algorithm.impl.cf.SlopeOneRecommender.execute(java.lang.Long, java.util.List);<no-session-id>;154670499702505485;1704998682777587950;1704998682783834777;39606aec9fd7;21;4
$1;1704998682783860616;public java.util.List tools.descartes.teastore.recommender.algorithm.RecommenderSelector.recommendProducts(java.lang.Long, java.util.List);<no-session-id>;154670499702505485;1704998682777471078;1704998682783854234;39606aec9fd7;20;3
$1;1704998682783889140;public jakarta.ws.rs.core.Response tools.descartes.teastore.recommender.rest.RecommendEndpoint.recommend(java.util.List, java.lang.Long);<no-session-id>;154670499702505485;1704998682777377179;1704998682783883229;39606aec9fd7;19;2
$1;1704998683570281941;protected java.util.List tools.descartes.teastore.recommender.algorithm.impl.cf.SlopeOneRecommender.execute(java.lang.Long, java.util.List);<no-session-id>;154670499702505491;1704998683570223199;1704998683570263706;39606aec9fd7;24;4
$1;1704998683570506928;protected java.util.List tools.descartes.teastore.recommender.algorithm.impl.pop.PopularityBasedRecommender.execute(java.lang.Long, java.util.List);<no-session-id>;154670499702505491;1704998683570345561;1704998683570497159;39606aec9fd7;25;4
$1;1704998683570516817;public java.util.List tools.descartes.teastore.recommender.algorithm.RecommenderSelector.recommendProducts(java.lang.Long, java.util.List);<no-session-id>;154670499702505491;1704998683570211667;1704998683570512849;39606aec9fd7;23;3
$1;1704998683570548006;public jakarta.ws.rs.core.Response tools.descartes.teastore.recommender.rest.RecommendEndpoint.recommend(java.util.List, java.lang.Long);<no-session-id>;154670499702505491;1704998683570200015;1704998683570544329;39606aec9fd7;22;2
$1;1704998683995828542;protected java.util.List tools.descartes.teastore.recommender.algorithm.impl.cf.SlopeOneRecommender.execute(java.lang.Long, java.util.List);<no-session-id>;154670499702505497;1704998683990591312;1704998683995794838;39606aec9fd7;27;4
