$0;1704998675364795042;1.15-SNAPSHOT;KIEKER;147c597ca1e9;1;false;0;NANOSECONDS;0
$1;1704998677412869393;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;154670499702505475;1704998675915854500;1704998677412294902;147c597ca1e9;1;1
$1;1704998677412872872;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;154670499702505473;1704998675915854523;1704998677412332503;147c597ca1e9;1;1
$1;1704998677412869465;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;154670499702505474;1704998675915854364;1704998677412329028;147c597ca1e9;1;1
$1;1704998678219452521;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;154670499702505475;1704998677450275142;1704998678219416543;147c597ca1e9;8;1
$1;1704998678220258062;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;154670499702505473;1704998677451575137;1704998678220222234;147c597ca1e9;8;1
$1;1704998678223460859;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;154670499702505474;1704998677451568749;1704998678223426664;147c597ca1e9;8;1
$1;1704998678407340153;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505475;1704998678253154890;1704998678407300558;147c597ca1e9;11;1
$1;1704998678427760630;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505473;1704998678245148304;1704998678427719722;147c597ca1e9;11;1
$1;1704998678444757630;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505474;1704998678250784301;1704998678444708987;147c597ca1e9;11;1
$1;1704998679960809326;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;154670499702505474;1704998675840096492;1704998679960780912;147c597ca1e9;0;0
$1;1704998679971748446;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;154670499702505475;1704998675840125860;1704998679971713650;147c597ca1e9;0;0
$1;1704998679976192679;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;154670499702505473;1704998675840138694;1704998679976165347;147c597ca1e9;0;0
$1;1704998680351902695;public static tools.descartes.teastore.entities.message.SessionBlob tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.login(tools.descartes.teastore.entities.message.SessionBlob, java.lang.String, java.lang.String);<no-session-id>;154670499702505476;1704998679987026598;1704998680351865214;147c597ca1e9;1;1
